,Manufacturer,Model,Imaging,octa_enface_imaging,Anatomic Region,caching,mode,Valid Combination,success,error
264,iCare,Eidon,Autofluorescence,,Macula,0.01,slice,False,False,"Invalid mode 'slice' for imaging type 'faf'. Allowed imaging types for 'slice' are ['cfp', 'ir', 'oct', 'octa']."
318,iCare,Eidon,Autofluorescence,,Macula,0.01,center_slice,False,False,"Invalid mode 'center_slice' for imaging type 'faf'. Allowed imaging types for 'center_slice' are ['oct', 'octa']."
29,Zeiss,Cirrus,OCTA,superficial,Optic_Disc_6x6,0.0,volume,False,False,"Invalid configuration: Imaging type 'octa' in 'volume' or 'center_slice' mode requires 'octa_enface_imaging=None', but got 'superficial'. Enface types such as ['superficial', 'deep', 'outer_retina', 'choriocapillaris'] are only valid when using 'slice' modes."
31,Zeiss,Cirrus,OCTA,deep,Optic_Disc_6x6,0.0,volume,False,False,"Invalid configuration: Imaging type 'octa' in 'volume' or 'center_slice' mode requires 'octa_enface_imaging=None', but got 'deep'. Enface types such as ['superficial', 'deep', 'outer_retina', 'choriocapillaris'] are only valid when using 'slice' modes."
33,Zeiss,Cirrus,OCTA,outer_retina,Optic_Disc_6x6,0.0,volume,False,False,"Invalid configuration: Imaging type 'octa' in 'volume' or 'center_slice' mode requires 'octa_enface_imaging=None', but got 'outer_retina'. Enface types such as ['superficial', 'deep', 'outer_retina', 'choriocapillaris'] are only valid when using 'slice' modes."
35,Zeiss,Cirrus,OCTA,choriocapillaris,Optic_Disc_6x6,0.0,volume,False,False,"Invalid configuration: Imaging type 'octa' in 'volume' or 'center_slice' mode requires 'octa_enface_imaging=None', but got 'choriocapillaris'. Enface types such as ['superficial', 'deep', 'outer_retina', 'choriocapillaris'] are only valid when using 'slice' modes."
137,Zeiss,Cirrus,OCTA,superficial,Optic_Disc_6x6,0.0,center_slice,False,False,"Invalid configuration: Imaging type 'octa' in 'volume' or 'center_slice' mode requires 'octa_enface_imaging=None', but got 'superficial'. Enface types such as ['superficial', 'deep', 'outer_retina', 'choriocapillaris'] are only valid when using 'slice' modes."
139,Zeiss,Cirrus,OCTA,deep,Optic_Disc_6x6,0.0,center_slice,False,False,"Invalid configuration: Imaging type 'octa' in 'volume' or 'center_slice' mode requires 'octa_enface_imaging=None', but got 'deep'. Enface types such as ['superficial', 'deep', 'outer_retina', 'choriocapillaris'] are only valid when using 'slice' modes."
141,Zeiss,Cirrus,OCTA,outer_retina,Optic_Disc_6x6,0.0,center_slice,False,False,"Invalid configuration: Imaging type 'octa' in 'volume' or 'center_slice' mode requires 'octa_enface_imaging=None', but got 'outer_retina'. Enface types such as ['superficial', 'deep', 'outer_retina', 'choriocapillaris'] are only valid when using 'slice' modes."
143,Zeiss,Cirrus,OCTA,choriocapillaris,Optic_Disc_6x6,0.0,center_slice,False,False,"Invalid configuration: Imaging type 'octa' in 'volume' or 'center_slice' mode requires 'octa_enface_imaging=None', but got 'choriocapillaris'. Enface types such as ['superficial', 'deep', 'outer_retina', 'choriocapillaris'] are only valid when using 'slice' modes."
191,Zeiss,Cirrus,OCTA,superficial,Optic_Disc_6x6,0.01,volume,False,False,"Invalid configuration: Imaging type 'octa' in 'volume' or 'center_slice' mode requires 'octa_enface_imaging=None', but got 'superficial'. Enface types such as ['superficial', 'deep', 'outer_retina', 'choriocapillaris'] are only valid when using 'slice' modes."
193,Zeiss,Cirrus,OCTA,deep,Optic_Disc_6x6,0.01,volume,False,False,"Invalid configuration: Imaging type 'octa' in 'volume' or 'center_slice' mode requires 'octa_enface_imaging=None', but got 'deep'. Enface types such as ['superficial', 'deep', 'outer_retina', 'choriocapillaris'] are only valid when using 'slice' modes."
195,Zeiss,Cirrus,OCTA,outer_retina,Optic_Disc_6x6,0.01,volume,False,False,"Invalid configuration: Imaging type 'octa' in 'volume' or 'center_slice' mode requires 'octa_enface_imaging=None', but got 'outer_retina'. Enface types such as ['superficial', 'deep', 'outer_retina', 'choriocapillaris'] are only valid when using 'slice' modes."
197,Zeiss,Cirrus,OCTA,choriocapillaris,Optic_Disc_6x6,0.01,volume,False,False,"Invalid configuration: Imaging type 'octa' in 'volume' or 'center_slice' mode requires 'octa_enface_imaging=None', but got 'choriocapillaris'. Enface types such as ['superficial', 'deep', 'outer_retina', 'choriocapillaris'] are only valid when using 'slice' modes."
299,Zeiss,Cirrus,OCTA,superficial,Optic_Disc_6x6,0.01,center_slice,False,False,"Invalid configuration: Imaging type 'octa' in 'volume' or 'center_slice' mode requires 'octa_enface_imaging=None', but got 'superficial'. Enface types such as ['superficial', 'deep', 'outer_retina', 'choriocapillaris'] are only valid when using 'slice' modes."
301,Zeiss,Cirrus,OCTA,deep,Optic_Disc_6x6,0.01,center_slice,False,False,"Invalid configuration: Imaging type 'octa' in 'volume' or 'center_slice' mode requires 'octa_enface_imaging=None', but got 'deep'. Enface types such as ['superficial', 'deep', 'outer_retina', 'choriocapillaris'] are only valid when using 'slice' modes."
303,Zeiss,Cirrus,OCTA,outer_retina,Optic_Disc_6x6,0.01,center_slice,False,False,"Invalid configuration: Imaging type 'octa' in 'volume' or 'center_slice' mode requires 'octa_enface_imaging=None', but got 'outer_retina'. Enface types such as ['superficial', 'deep', 'outer_retina', 'choriocapillaris'] are only valid when using 'slice' modes."
305,Zeiss,Cirrus,OCTA,choriocapillaris,Optic_Disc_6x6,0.01,center_slice,False,False,"Invalid configuration: Imaging type 'octa' in 'volume' or 'center_slice' mode requires 'octa_enface_imaging=None', but got 'choriocapillaris'. Enface types such as ['superficial', 'deep', 'outer_retina', 'choriocapillaris'] are only valid when using 'slice' modes."
30,Zeiss,Cirrus,OCTA,superficial,Macula_6x6,0.0,volume,False,False,"Invalid configuration: Imaging type 'octa' in 'volume' or 'center_slice' mode requires 'octa_enface_imaging=None', but got 'superficial'. Enface types such as ['superficial', 'deep', 'outer_retina', 'choriocapillaris'] are only valid when using 'slice' modes."
32,Zeiss,Cirrus,OCTA,deep,Macula_6x6,0.0,volume,False,False,"Invalid configuration: Imaging type 'octa' in 'volume' or 'center_slice' mode requires 'octa_enface_imaging=None', but got 'deep'. Enface types such as ['superficial', 'deep', 'outer_retina', 'choriocapillaris'] are only valid when using 'slice' modes."
34,Zeiss,Cirrus,OCTA,outer_retina,Macula_6x6,0.0,volume,False,False,"Invalid configuration: Imaging type 'octa' in 'volume' or 'center_slice' mode requires 'octa_enface_imaging=None', but got 'outer_retina'. Enface types such as ['superficial', 'deep', 'outer_retina', 'choriocapillaris'] are only valid when using 'slice' modes."
36,Zeiss,Cirrus,OCTA,choriocapillaris,Macula_6x6,0.0,volume,False,False,"Invalid configuration: Imaging type 'octa' in 'volume' or 'center_slice' mode requires 'octa_enface_imaging=None', but got 'choriocapillaris'. Enface types such as ['superficial', 'deep', 'outer_retina', 'choriocapillaris'] are only valid when using 'slice' modes."
138,Zeiss,Cirrus,OCTA,superficial,Macula_6x6,0.0,center_slice,False,False,"Invalid configuration: Imaging type 'octa' in 'volume' or 'center_slice' mode requires 'octa_enface_imaging=None', but got 'superficial'. Enface types such as ['superficial', 'deep', 'outer_retina', 'choriocapillaris'] are only valid when using 'slice' modes."
